"P35_001,N,19,11","P35_002,N,19,11","P35_003,C,254","P35_004,C,254","P35_005,C,254","P35_006,C,254","P35_007,C,254","P35_008,C,254","P35_009,C,254","P35_010,C,254","P35_011,N,19,11","P35_012,N,19,11","P35_013,N,19,11","P35_014,N,19,11","P35_015,N,19,11","P35_016,N,19,11","P35_017,N,19,11","P35_018,N,19,11","P35_019,N,19,11","P35_020,N,19,11","P35_021,N,19,11","P35_022,N,19,11","P35_023,N,19,11","P35_024,N,19,11","P35_025,N,19,11","P35_026,N,19,11","P35_027,N,19,11","P35_028,N,19,11"
42.342012,140.943745,北海道,室蘭市,01205,みたら室蘭,https://www.michi-no-eki.jp/stations/view/47,http://www.hokkaido-michinoeki.jp/michinoeki/1039/,http://muro-kanko.com/visit/roadside_station.html,,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,1,1,1
43.844134,142.4895,北海道,上川郡当麻町,01454,とうま,https://www.michi-no-eki.jp/stations/view/48,http://www.hokkaido-michinoeki.jp/michinoeki/1677/,,,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1
43.1885383,140.7887813,北海道,余市郡余市町,01408,スペース・アップルよいち,https://www.michi-no-eki.jp/stations/view/49,http://www.hokkaido-michinoeki.jp/michinoeki/1699/,,,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1
44.3673322,141.7065768,北海道,苫前郡羽幌町,01484,ほっと?はぼろ,https://www.michi-no-eki.jp/stations/view/50,http://www.hokkaido-michinoeki.jp/michinoeki/1747/,,,2,1,1,2,1,1,2,1,1,2,2,2,1,2,2,1,1,1
44.0999179,143.8241425,北海道,常呂郡佐呂間町,01552,サロマ湖,https://www.michi-no-eki.jp/stations/view/51,http://www.hokkaido-michinoeki.jp/michinoeki/1787/,http://saroma.jp,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
44.1308204,143.7192064,北海道,紋別郡湧別町,01559,愛ランド湧別,https://www.michi-no-eki.jp/stations/view/52,http://www.hokkaido-michinoeki.jp/michinoeki/1951/,http://www.town.yubetsu.lg.jp/60kanko/03annai/you.html,,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1
44.5830367,142.9597327,北海道,紋別郡雄武町,01563,おうむ,https://www.michi-no-eki.jp/stations/view/53,http://www.hokkaido-michinoeki.jp/michinoeki/1975/,http://www.town.oumu.hokkaido.jp/hotnews/detail/00000065.html,,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1
45.329219,142.177348,北海道,宗谷郡猿払村,01511,さるふつ公園,https://www.michi-no-eki.jp/stations/view/54,http://www.hokkaido-michinoeki.jp/michinoeki/2010/,http://www.vill.sarufutsu.hokkaido.jp/hotnews/detail/00000356.html,,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1
44.114633,142.139546,北海道,雨竜郡幌加内町,01472,森と湖の里ほろかない,https://www.michi-no-eki.jp/stations/view/55,http://www.hokkaido-michinoeki.jp/michinoeki/2038/,http://www.horokanai-kankou.com/sightseeing.php?id=1297731252284505,,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1
43.503388,142.004244,北海道,歌志内市,01227,うたしないチロルの湯,https://www.michi-no-eki.jp/stations/view/56,http://www.hokkaido-michinoeki.jp/michinoeki/2066/,http://www.michieki-tirol.net/,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
42.6727094,140.3800337,北海道,寿都郡黒松内町,01393,くろまつない,https://www.michi-no-eki.jp/stations/view/57,http://www.hokkaido-michinoeki.jp/michinoeki/2088/,http://www.kuromatsunai.com/toitvert2/index.html,,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1
43.6234396,141.941478,北海道,滝川市,01225,たきかわ,https://www.michi-no-eki.jp/stations/view/58,http://www.hokkaido-michinoeki.jp/michinoeki/2107/,,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
